Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked
KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,33175,MIAMI-DADE,3052233000,6.95327266839,4.91629500987,6.26061715742,4.28352707788
UNIVERSITY OF KANSAS HOSPITAL,KANSAS CITY,KS,66103,WYANDOTTE,9135887332,6.95315784969,5.77356780767,6.07938402026,5.45574429848
ORANGE COAST MEMORIAL MEDICAL CENTER,FOUNTAIN VALLEY,CA,92708,ORANGE,7143787406,6.95252319458,5.73713257724,5.62171557642,6.93444242048
EDWARD HOSPITAL,NAPERVILLE,IL,60540,DUPAGE,6305273000,6.94421806499,5.34549721318,5.72541124362,5.66477777472
KNAPP MEDICAL CENTER,WESLACO,TX,78596,HIDALGO,9569688567,6.94083696341,4.50510130344,7.24199822324,6.32163131883
UNIVERSITY OF WASHINGTON MEDICAL CTR,SEATTLE,WA,98195,KING,2065983300,6.93819316118,6.44236898863,7.60055898749,5.51576657775
"JEWISH HOSPITAL, LLC",CINCINNATI,OH,45236,HAMILTON,5136863000,6.93235803537,5.62388626063,7.45597789588,7.10755735637
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,JANESVILLE,WI,53546,ROCK,6083738000,6.92756727063,5.71077901106,7.05524252779,4.80465277874
ADVOCATE CONDELL MEDICAL CENTER,LIBERTYVILLE,IL,60048,LAKE,8479905200,6.92546130341,5.19592291764,6.88685902409,5.91520000484
BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,BOSTON,MA,2130,SUFFOLK,6179837000,6.9243616956,6.18834836852,6.98223005238,8.32032254488
CENTRAL DUPAGE HOSPITAL,WINFIELD,IL,60190,DUPAGE,6306821600,6.91306947703,6.03353897264,4.99393834508,5.93546799109
BRANDON REGIONAL HOSPITAL,BRANDON,FL,33511,HILLSBOROUGH,8136815551,6.90652607895,4.78167814388,5.3329077133,6.51120396678
NORTHWESTERN LAKE FOREST HOSPITAL,LAKE FOREST,IL,60045,LAKE,8472345600,6.90267970226,5.854049818,6.02842651851,6.20255500964
PARKER ADVENTIST HOSPITAL,PARKER,CO,80138,DOUGLAS,3032694000,6.90018807718,5.09600856709,4.18795415493,7.11542403338
HUNTINGTON HOSPITAL,HUNTINGTON,NY,11743,SUFFOLK,6313512000,6.89642513386,6.00483557783,6.59458483003,4.95043146611
MARTIN MEDICAL CENTER,STUART,FL,34995,MARTIN,7722875200,6.8866682634,5.0658693054,5.85076944497,6.68933704594
WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,CA,91307,LOS ANGELES,8186764100,6.8863726415,4.7200273676,6.85048665757,4.51804805939
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,PLATTSBURGH,NY,12901,CLINTON,5185627767,6.88547912287,5.51124040256,7.38548591542,8.5340366351
