Hospital Name,City,State,ZIP Code,County Name,Phone Number
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,MCHENRY,IL,60050,MCHENRY,8153445000
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,WOODSTOCK,IL,60098,MCHENRY,8157885823
MERCY HARVARD HOSPITAL,HARVARD,IL,60033,MCHENRY,8159435431
ADVOCATE BROMENN MEDICAL CENTER,NORMAL,IL,61761,MCLEAN,3094541400
ST JOSEPH MEDICAL CENTER,BLOOMINGTON,IL,61701,MCLEAN,3096623311
"GENESIS MEDICAL CENTER, ALEDO",ALEDO,IL,61231,MERCER,3095825301
HILLSBORO AREA HOSPITAL,HILLSBORO,IL,62049,MONTGOMERY,2175326111
ST FRANCIS HOSPITAL,LITCHFIELD,IL,62056,MONTGOMERY,2173242191
PASSAVANT AREA HOSPITAL,JACKSONVILLE,IL,62650,MORGAN,2172459551
ROCHELLE COMMUNITY HOSPITAL,ROCHELLE,IL,61068,OGLE,8155622181
METHODIST MEDICAL CENTER OF ILLINOIS,PEORIA,IL,61636,PEORIA,3096725522
PROCTOR HOSPITAL,PEORIA,IL,61614,PEORIA,3096911000
SAINT FRANCIS MEDICAL CENTER,PEORIA,IL,61637,PEORIA,3096552000
MARSHALL BROWNING HOSPITAL,DU QUOIN,IL,62832,PERRY,6185422146
PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,62274,PERRY,6183572187
KIRBY MEDICAL CENTER,MONTICELLO,IL,61856,PIATT,2177622115
ILLINI COMMUNITY HOSPITAL,PITTSFIELD,IL,62363,PIKE,2172852113
MEMORIAL HOSPITAL,CHESTER,IL,62233,RANDOLPH,6188264581
RED BUD REGIONAL HOSPITAL,RED BUD,IL,62278,RANDOLPH,6182823831
SPARTA COMMUNITY HOSPITAL,SPARTA,IL,62286,RANDOLPH,6184432177
RICHLAND MEMORIAL HOSPITAL,OLNEY,IL,62450,RICHLAND,6183952131
GENESIS HEALTH SYSTEM,SILVIS,IL,61282,ROCK ISLAND,3097929363
TRINITY ROCK ISLAND,ROCK ISLAND,IL,61201,ROCK ISLAND,3097795000
MEMORIAL HOSPITAL,BELLEVILLE,IL,62226,SAINT CLAIR,6182337750
METRO-EAST SERVICES INC,SHILOH,IL,62269,SAINT CLAIR,6186071000
ST ELIZABETH HOSPITAL,BELLEVILLE,IL,62220,SAINT CLAIR,6182342120
TOUCHETTE REGIONAL HOSPITAL INC,CENTREVILLE,IL,62207,SAINT CLAIR,6183323060
FERRELL HOSPITAL COMMUNITY FOUNDATIONS,ELDORADO,IL,62930,SALINE,6182733361
HARRISBURG MEDICAL CENTER,HARRISBURG,IL,62946,SALINE,6182537671
MEMORIAL MEDICAL CENTER,SPRINGFIELD,IL,62781,SANGAMON,2177883000
ST JOHNS HOSPITAL,SPRINGFIELD,IL,62769,SANGAMON,2175446464
SARAH D CULBERTSON MEMORIAL HOSPITAL,RUSHVILLE,IL,62681,SCHUYLER,2173224321
HSHS GOOD SHEPHERD HOSPITAL INC,SHELBYVILLE,IL,62565,SHELBY,2177743961
FHN MEMORIAL HOSPITAL,FREEPORT,IL,61032,STEPHENSON,8152354131
HOPEDALE HOSPITAL,HOPEDALE,IL,61747,TAZEWELL,3094493321
PEKIN MEMORIAL HOSPITAL,PEKIN,IL,61554,TAZEWELL,3093471151
UNION COUNTY HOSPITAL,ANNA,IL,62906,UNION,6188334511
HOOPESTON COMMUNITY MEMORIAL HOSPITAL,HOOPESTON,IL,60942,VERMILION,2172835531
PRESENCE UNITED SAMARITANS MEDICAL CENTER,DANVILLE,IL,61832,VERMILION,2174435000
WABASH GENERAL HOSPITAL 1,MOUNT CARMEL,IL,62863,WABASH,6182628621
OSF HOLY FAMILY MEDICAL CENTER,MONMOUTH,IL,61462,WARREN,3097343141
WASHINGTON COUNTY HOSPITAL*,NASHVILLE,IL,62263,WASHINGTON,6183272264
FAIRFIELD MEMORIAL HOSPITAL 1,FAIRFIELD,IL,62837,WAYNE,6188422611
CGH MEDICAL CENTER,STERLING,IL,61081,WHITESIDE,8156250400
MORRISON COMMUNITY HOSPITAL,MORRISON,IL,61270,WHITESIDE,8157724003
ADVENTIST BOLINGBROOK HOSPITAL,BOLINGBROOK,IL,60440,WILL,6302268100
PRESENCE SAINT JOSEPH MEDICAL CENTER,JOLIET,IL,60435,WILL,8157257133
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,NEW LENOX,IL,60451,WILL,8153001100
HEARTLAND REGIONAL MEDICAL CENTER,MARION,IL,62959,WILLIAMSON,6189987000
HERRIN HOSPITAL,HERRIN,IL,62948,WILLIAMSON,6189422171
ROCKFORD MEMORIAL HOSPITAL,ROCKFORD,IL,61103,WINNEBAGO,8159686861
SAINT ANTHONY MEDICAL CENTER,ROCKFORD,IL,61108,WINNEBAGO,8152262000
SWEDISH AMERICAN HOSPITAL,ROCKFORD,IL,61104,WINNEBAGO,8159684400
ADVOCATE EUREKA  HOSPITAL,EUREKA,IL,61530,WOODFORD,3094672371
ADAMS MEMORIAL HOSPITAL,DECATUR,IN,46733,ADAMS,2607242145
DUPONT HOSPITAL LLC,FORT WAYNE,IN,46825,ALLEN,2604163000
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,IN,46804,ALLEN,2604357001
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,FORT WAYNE,IN,46845,ALLEN,2606724050
PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN,46845,ALLEN,2602661000
ST JOSEPH HOSPITAL,FORT WAYNE,IN,46802,ALLEN,2604253000
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,FORT WAYNE,IN,46804,ALLEN,2604352999
COLUMBUS REGIONAL HOSPITAL,COLUMBUS,IN,47201,BARTHOLOMEW,8123794441
INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,HARTFORD CITY,IN,47348,BLACKFORD,7653480300
WITHAM HEALTH SERVICES,LEBANON,IN,46052,BOONE,7654858000
MEMORIAL HOSPITAL,LOGANSPORT,IN,46947,CASS,5747537541
CLARK MEMORIAL HOSPITAL,JEFFERSONVILLE,IN,47130,CLARK,8122832147
KENTUCKIANA MEDICAL CENTER LLC,CLARKSVILLE,IN,47129,CLARK,8122803300
ST VINCENT CLAY HOSPITAL INC,BRAZIL,IN,47834,CLAY,8124422500
INDIANA UNIVERSITY HEALTH FRANKFORT INC,FRANKFORT,IN,46041,CLINTON,7656563000
DAVIESS COMMUNITY HOSPITAL,WASHINGTON,IN,47501,DAVIESS,8122542760
DEKALB HEALTH,AUBURN,IN,46706,DE KALB,2609254600
DEARBORN COUNTY HOSPITAL,LAWRENCEBURG,IN,47025,DEARBORN,8125371010
DECATUR COUNTY MEMORIAL HOSPITAL,GREENSBURG,IN,47240,DECATUR,8126634331
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,47303,DELAWARE,7657473111
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,JASPER,IN,47546,DUBOIS,8129962345
ELKHART GENERAL HOSPITAL,ELKHART,IN,46514,ELKHART,5742942621
GOSHEN GENERAL HOSPITAL,GOSHEN,IN,46526,ELKHART,5743641000
FAYETTE REGIONAL HEALTH SYSTEM,CONNERSVILLE,IN,47331,FAYETTE,7658255131
BAPTIST HEALTH FLOYD,NEW ALBANY,IN,47150,FLOYD,8129447701
PHYSICIANS' MEDICAL CENTER LLC,NEW ALBANY,IN,47150,FLOYD,8122067660
WOODLAWN HOSPITAL,ROCHESTER,IN,46975,FULTON,5742233141
GIBSON GENERAL HOSPITAL,PRINCETON,IN,47670,GIBSON,8123853401
MARION GENERAL HOSPITAL,MARION,IN,46952,GRANT,7656606000
GREENE COUNTY GENERAL HOSPITAL,LINTON,IN,47441,GREENE,8128472281
FRANCISCAN HEALTH CARMEL,CARMEL,IN,46032,HAMILTON,3177054500
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,46032,HAMILTON,3176882000
RIVERVIEW HEALTH,NOBLESVILLE,IN,46060,HAMILTON,3177767106
ST VINCENT CARMEL HOSPITAL INC,CARMEL,IN,46032,HAMILTON,3175827000
ST VINCENT FISHERS HOSPITAL INC,FISHERS,IN,46037,HAMILTON,3174159000
ST VINCENT HEART CENTER OF INDIANA LLC,INDIANAPOLIS,IN,46290,HAMILTON,3175835000
HANCOCK REGIONAL HOSPITAL,GREENFIELD,IN,46140,HANCOCK,3174625544
HARRISON COUNTY HOSPITAL,CORYDON,IN,47112,HARRISON,8127384251
HENDRICKS REGIONAL HEALTH,DANVILLE,IN,46122,HENDRICKS,3177454451
IU HEALTH WEST HOSPITAL,AVON,IN,46123,HENDRICKS,3172173000
HENRY COUNTY MEMORIAL HOSPITAL,NEW CASTLE,IN,47362,HENRY,7655210890
COMMUNITY HOWARD REGIONAL HEALTH INC,KOKOMO,IN,46902,HOWARD,7654538547
ST VINCENT KOKOMO,KOKOMO,IN,46904,HOWARD,7654525611
PARKVIEW HUNTINGTON HOSPITAL,HUNTINGTON,IN,46750,HUNTINGTON,2603553000
SCHNECK MEDICAL CENTER,SEYMOUR,IN,47274,JACKSON,8125222349
"FRANCISCAN HEALTH RENSSELAER, INC",RENSSELAER,IN,47978,JASPER,2198665141
JAY COUNTY HOSPITAL,PORTLAND,IN,47371,JAY,2607267131
KING'S DAUGHTERS' HEALTH,MADISON,IN,47250,JEFFERSON,8128010105
ST VINCENT JENNINGS HOSPITAL INC,NORTH VERNON,IN,47265,JENNINGS,8123524200
JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN,46131,JOHNSON,3177363300
GOOD SAMARITAN HOSPITAL,VINCENNES,IN,47591,KNOX,8128825220
KOSCIUSKO COMMUNITY HOSPITAL,WARSAW,IN,46580,KOSCIUSKO,5742673200
FRANCISCAN HEALTH MICHIGAN CITY,MICHIGAN CITY,IN,46360,LA PORTE,2198798511
LA PORTE HOSPITAL,LA PORTE,IN,46350,LA PORTE,2193261234
PARKVIEW LAGRANGE HOSPITAL,LAGRANGE,IN,46761,LAGRANGE,2604639000
COMMUNITY HOSPITAL,MUNSTER,IN,46321,LAKE,2198361600
FRANCISCAN HEALTH CROWN POINT,CROWN POINT,IN,46307,LAKE,2197576100
FRANCISCAN HEALTH DYER,DYER,IN,46311,LAKE,2198652141
FRANCISCAN HEALTH HAMMOND,HAMMOND,IN,46320,LAKE,2199322300
FRANCISCAN HEALTH MUNSTER,MUNSTER,IN,46321,LAKE,2199224200
METHODIST HOSPITALS INC,GARY,IN,46402,LAKE,2198864000
PINNACLE HOSPITAL,CROWN POINT,IN,46307,LAKE,2197562100
ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN,46312,LAKE,2193927004
ST MARY MEDICAL CENTER INC,HOBART,IN,46342,LAKE,2199420551
INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,BEDFORD,IN,47421,LAWRENCE,8122751200
ST VINCENT DUNN HOSPITAL INC,BEDFORD,IN,47421,LAWRENCE,8122753331
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,ANDERSON,IN,46011,MADISON,7652984242
ST VINCENT ANDERSON REGIONAL HOSPITAL INC,ANDERSON,IN,46016,MADISON,7656468373
ST VINCENT MERCY HOSPITAL,ELWOOD,IN,46036,MADISON,7655524743
COMMUNITY HOSPITAL EAST,INDIANAPOLIS,IN,46219,MARION,3173555411
COMMUNITY HOSPITAL NORTH,INDIANAPOLIS,IN,46256,MARION,3176215335
COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN,46227,MARION,3178877000
ESKENAZI HEALTH,INDIANAPOLIS,IN,46202,MARION,3178804818
FAIRBANKS,INDIANAPOLIS,IN,46256,MARION,3178498222
FRANCISCAN HEALTH INDIANAPOLIS,INDIANAPOLIS,IN,46237,MARION,3175285000
INDIANA UNIVERSITY HEALTH,INDIANAPOLIS,IN,46202,MARION,3179625900
ORTHOINDY HOSPITAL,INDIANAPOLIS,IN,46278,MARION,3179561000
ST VINCENT HOSPITAL & HEALTH SERVICES,INDIANAPOLIS,IN,46260,MARION,3173387000
COMMUNITY HOSPITAL OF BREMEN INC,BREMEN,IN,46506,MARSHALL,5745462211
SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,PLYMOUTH,IN,46563,MARSHALL,5749484000
DUKES MEMORIAL HOSPITAL,PERU,IN,46970,MIAMI,7654728000
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,47403,MONROE,8123539555
MONROE HOSPITAL,BLOOMINGTON,IN,47403,MONROE,8128251111
FRANCISCAN HEALTH CRAWFORDSVILLE,CRAWFORDSVILLE,IN,47933,MONTGOMERY,7653622800
FRANCISCAN HEALTH MOORESVILLE,MOORESVILLE,IN,46158,MORGAN,3178311160
PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN,46755,NOBLE,2603478700
INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,PAOLI,IN,47454,ORANGE,8127232811
PERRY COUNTY MEMORIAL HOSPITAL,TELL CITY,IN,47586,PERRY,8125477011
PORTER REGIONAL HOSPITAL,VALPARAISO,IN,46383,PORTER,2199838300
PULASKI MEMORIAL HOSPITAL,WINAMAC,IN,46996,PULASKI,5749462100
PUTNAM COUNTY HOSPITAL,GREENCASTLE,IN,46135,PUTNAM,7656535121
ST VINCENT RANDOLPH HOSPITAL INC,WINCHESTER,IN,47394,RANDOLPH,7655840004
MARGARET MARY HEALTH,BATESVILLE,IN,47006,RIPLEY,8129346624
RUSH MEMORIAL HOSPITAL,RUSHVILLE,IN,46173,RUSH,7659327513
SCOTT MEMORIAL HOSPITAL,SCOTTSBURG,IN,47170,SCOTT,8127523456
MAJOR HOSPITAL,SHELBYVILLE,IN,46176,SHELBY,3173923211
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN,46601,ST JOSEPH,5746471000
SAINT JOSEPH REGIONAL MEDICAL CENTER,MISHAWAKA,IN,46545,ST JOSEPH,5743355000
UNITY MEDICAL AND SURGICAL HOSPITAL,MISHAWAKA,IN,46545,ST JOSEPH,5742316800
STARKE HOSPITAL,KNOX,IN,46534,STARKE,5747721102
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,ANGOLA,IN,46703,STEUBEN,2606652141
SULLIVAN COUNTY COMMUNITY HOSPITAL,SULLIVAN,IN,47882,SULLIVAN,8122684311
FRANCISCAN HEALTH LAFAYETTE,LAFAYETTE,IN,47905,TIPPECANOE,7655024334
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,IN,47905,TIPPECANOE,7654488000
INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,TIPTON,IN,46072,TIPTON,7656758500
DEACONESS HOSPITAL INC,EVANSVILLE,IN,47747,VANDERBURGH,8124505000
ST VINCENT EVANSVILLE,EVANSVILLE,IN,47750,VANDERBURGH,8124854000
UNION HOSPITAL CLINTON,CLINTON,IN,47842,VERMILLION,7658321234
TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE,IN,47802,VIGO,8122320021
UNION HOSPITAL INC,TERRE HAUTE,IN,47804,VIGO,8122387606
"PARKVIEW WABASH HOSPITAL, INC",WABASH,IN,46992,WABASH,2605692160
ST VINCENT WILLIAMSPORT HOSPITAL INC,WILLIAMSPORT,IN,47993,WARREN,7657624000
ST VINCENT WARRICK,BOONVILLE,IN,47601,WARRICK,8128974800
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,NEWBURGH,IN,47630,WARRICK,8128424784
WOMEN'S HOSPITAL THE,NEWBURGH,IN,47630,WARRICK,8128424200
ST VINCENT SALEM HOSPITAL INC,SALEM,IN,47167,WASHINGTON,8128835881
REID HEALTH,RICHMOND,IN,47374,WAYNE,7659833000
BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,IN,46714,WELLS,2608243210
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,MONTICELLO,IN,47960,WHITE,5745837111
PARKVIEW WHITLEY HOSPITAL,COLUMBIA CITY,IN,46725,WHITLEY,2602489301
ALLEN COUNTY REGIONAL HOSPITAL,IOLA,KS,66749,ALLEN,6203651021
ANDERSON COUNTY HOSPITAL,GARNETT,KS,66032,ANDERSON,7852044000
ATCHISON HOSPITAL,ATCHISON,KS,66002,ATCHISON,9133605581
KIOWA DISTRICT HOSPITAL,KIOWA,KS,67070,BARBER,6208254131
MEDICINE LODGE MEMORIAL HOSPITAL,MEDICINE LODGE,KS,67104,BARBER,6208863771
CLARA BARTON HOSPITAL,HOISINGTON,KS,67544,BARTON,6206532114
ELLINWOOD DISTRICT HOSPITAL,ELLINWOOD,KS,67526,BARTON,6205642548
GREAT BEND REGIONAL HOSPITAL,GREAT BEND,KS,67530,BARTON,6207928833
MERCY HOSPITAL-FORT SCOTT,FORT SCOTT,KS,66701,BOURBON,6202237057
HIAWATHA COMMUNITY HOSPITAL,HIAWATHA,KS,66434,BROWN,7857422131
HORTON COMMUNITY HOSPITAL,HORTON,KS,66439,BROWN,7854862642
KANSAS MEDICAL CENTER LLC,ANDOVER,KS,67002,BUTLER,3163004000
SUSAN B ALLEN MEMORIAL HOSPITAL,EL DORADO,KS,67042,BUTLER,3163213300
SEDAN CITY HOSPITAL,SEDAN,KS,67361,CHAUTAUQUA,6207253115
MERCY HOSPITAL COLUMBUS,COLUMBUS,KS,66725,CHEROKEE,6204292545
PREMIER SURGICAL INSTITUTE,GALENA,KS,66739,CHEROKEE,6207831732
CHEYENNE COUNTY HOSPITAL,ST FRANCIS,KS,67756,CHEYENNE,7853322104
ASHLAND HEALTH CENTER,ASHLAND,KS,67831,CLARK,6206352241
MINNEOLA DISTRICT HOSPITAL NBR 2,MINNEOLA,KS,67865,CLARK,6208854264
CLAY COUNTY MEDICAL CENTER,CLAY CENTER,KS,67432,CLAY,7856322144
CLOUD COUNTY HEALTH CENTER,CONCORDIA,KS,66901,CLOUD,7852431234
COFFEY COUNTY HOSPITAL,BURLINGTON,KS,66839,COFFEY,6203642121
COMANCHE COUNTY HOSPITAL,COLDWATER,KS,67029,COMANCHE,6205822144
SOUTH CENTRAL KS  MED CENTER,ARKANSAS CITY,KS,67005,COWLEY,6204422500
WILLIAM NEWTON HOSPITAL,WINFIELD,KS,67156,COWLEY,6202212300
GIRARD MEDICAL CENTER,GIRARD,KS,66743,CRAWFORD,6207248291
VIA CHRISTI HOSPITAL PITTSBURG INC,PITTSBURG,KS,66762,CRAWFORD,6202316100
DECATUR COUNTY HOSPITAL,OBERLIN,KS,67749,DECATUR,7854752208
HERINGTON MUNICIPAL HOSPITAL,HERINGTON,KS,67449,DICKINSON,7852582207
MEMORIAL HOSPITAL,ABILENE,KS,67410,DICKINSON,7852636610
LAWRENCE MEMORIAL HOSPITAL,LAWRENCE,KS,66044,DOUGLAS,7855056100
EDWARDS COUNTY HOSPITAL,KINSLEY,KS,67547,EDWARDS,6206593621
HAYS MEDICAL CENTER,HAYS,KS,67601,ELLIS,7856235000
ELLSWORTH COUNTY MEDICAL CENTER,ELLSWORTH,KS,67439,ELLSWORTH,7854723111
ST CATHERINE HOSPITAL,GARDEN CITY,KS,67846,FINNEY,6202722222
WESTERN PLAINS MEDICAL COMPLEX,DODGE CITY,KS,67801,FORD,6202258400
RANSOM MEMORIAL HOSPITAL,OTTAWA,KS,66067,FRANKLIN,7852298200
GEARY COMMUNITY HOSPITAL,JUNCTION CITY,KS,66441,GEARY,7852384131
GOVE COUNTY MEDICAL CENTER,QUINTER,KS,67752,GOVE,7857543341
GRAHAM COUNTY HOSPITAL,HILL CITY,KS,67642,GRAHAM,7854212121
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,ULYSSES,KS,67880,GRANT,6203561266
GREELEY COUNTY HEALTH SERVICES,TRIBUNE,KS,67879,GREELEY,6203764221
GREENWOOD COUNTY HOSPITAL,EUREKA,KS,67045,GREENWOOD,6205837451
HAMILTON COUNTY HOSPITAL,SYRACUSE,KS,67878,HAMILTON,6203847461
ANTHONY MEDICAL CENTER,ANTHONY,KS,67003,HARPER,6208425111
HARPER HOSPITAL DISTRICT NO 5,HARPER,KS,67058,HARPER,6208967324
NEWTON MEDICAL CENTER,NEWTON,KS,67114,HARVEY,3162832700
SATANTA DISTRICT HOSPITAL,SATANTA,KS,67870,HASKELL,6206492761
HODGEMAN COUNTY HEALTH CENTER,JETMORE,KS,67854,HODGEMAN,6203578361
HOLTON COMMUNITY HOSPITAL,HOLTON,KS,66436,JACKSON,7853642116
FW HUSTON MEDICAL CENTER,WINCHESTER,KS,66097,JEFFERSON,9137744340
JEWELL COUNTY HOSPITAL,MANKATO,KS,66956,JEWELL,7853783137
"BLUE VALLEY HOSPITAL, INC",OVERLAND PARK,KS,66213,JOHNSON,9132202866
CHILDREN'S MERCY HOSPITAL KANSAS,OVERLAND PARK,KS,66211,JOHNSON,9132343000
DOCTORS HOSPITAL LLC,LEAWOOD,KS,66211,JOHNSON,9135291801
KANSAS CITY ORTHOPAEDIC INSTITUTE,LEAWOOD,KS,66211,JOHNSON,9133197633
MENORAH MEDICAL CENTER,OVERLAND PARK,KS,66209,JOHNSON,9134986773
MINIMALLY INVASIVE SURGERY HOSPITAL,LENEXA,KS,66219,JOHNSON,9133227401
OLATHE MEDICAL CENTER,OLATHE,KS,66061,JOHNSON,9137914200
OVERLAND PARK REG MED CTR,OVERLAND PARK,KS,66215,JOHNSON,9135415000
SAINT LUKE'S SOUTH HOSPITAL,OVERLAND PARK,KS,66213,JOHNSON,9133177904
SHAWNEE MISSION MEDICAL CENTER,SHAWNEE MISSION,KS,66204,JOHNSON,9136762151
KEARNY COUNTY HOSPITAL,LAKIN,KS,67860,KEARNY,6203557111
KINGMAN COMMUNITY HOSPITAL,KINGMAN,KS,67068,KINGMAN,6205323147
KIOWA COUNTY MEMORIAL HOSPITAL,GREENSBURG,KS,67054,KIOWA,6207233341
LABETTE HEALTH,PARSONS,KS,67357,LABETTE,6204214880
OSWEGO COMMUNITY HOSPITAL,OSWEGO,KS,67356,LABETTE,6207952921
LANE COUNTY HOSPITAL,DIGHTON,KS,67839,LANE,6203975321
SAINT JOHN HOSPITAL,LEAVENWORTH,KS,66048,LEAVENWORTH,9136806000
SAINT LUKE'S CUSHING HOSPITAL,LEAVENWORTH,KS,66048,LEAVENWORTH,9136841102
LINCOLN COUNTY HOSPITAL,LINCOLN,KS,67455,LINCOLN,7855244403
LOGAN COUNTY HOSPITAL,OAKLEY,KS,67748,LOGAN,7856723211
NEWMAN REGIONAL HEALTH,EMPORIA,KS,66801,LYON,6203436800
HILLSBORO COMMUNITY HOSPITAL,HILLSBORO,KS,67063,MARION,6209473114
ST LUKE HOSPITAL & LIVING CENTER,MARION,KS,66861,MARION,6203822177
"COMMUNITY MEMORIAL HEALTHCARE, INC",MARYSVILLE,KS,66508,MARSHALL,7855622311
LINDSBORG COMMUNITY HOSPITAL,LINDSBORG,KS,67456,MCPHERSON,7852273308
MCPHERSON HOSPITAL INC,MCPHERSON,KS,67460,MCPHERSON,6202412250
"MERCY HOSPITAL, INC",MOUNDRIDGE,KS,67107,MCPHERSON,6203456391
MEADE DISTRICT HOSPITAL,MEADE,KS,67864,MEADE,6208732141
MIAMI COUNTY MEDICAL CENTER,PAOLA,KS,66071,MIAMI,9135574385
MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,BELOIT,KS,67420,MITCHELL,7857382266
COFFEYVILLE REGIONAL MEDICAL CENTER,COFFEYVILLE,KS,67337,MONTGOMERY,6202511200
MORRIS COUNTY HOSPITAL,COUNCIL GROVE,KS,66846,MORRIS,6207676811
MORTON COUNTY HOSPITAL,ELKHART,KS,67950,MORTON,6206972141
NEMAHA VALLEY COMMUNITY HOSPITAL,SENECA,KS,66538,NEMAHA,7853366181
SABETHA COMMUNITY HOSPITAL,SABETHA,KS,66534,NEMAHA,7852842121
NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,CHANUTE,KS,66720,NEOSHO,6204314000
GRISELL MEMORIAL HOSPITAL,RANSOM,KS,67572,NESS,7857312231
NESS COUNTY HOSPITAL DISTRICT #2,NESS CITY,KS,67560,NESS,7857982291
NORTON COUNTY HOSPITAL,NORTON,KS,67654,NORTON,7858773351
OSBORNE COUNTY MEMORIAL HOSPITAL,OSBORNE,KS,67473,OSBORNE,7853462121
OTTAWA COUNTY HEALTH CENTER,MINNEAPOLIS,KS,67467,OTTAWA,7853922122
PAWNEE VALLEY COMMUNITY HOSPITAL,LARNED,KS,67550,PAWNEE,6202853162
PHILLIPS COUNTY HEALTH SYSTEMS,PHILLIPSBURG,KS,67661,PHILLIPS,7855435226
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",ONAGA,KS,66521,POTTAWATOMIE,7858894272
WAMEGO HEALTH CENTER,WAMEGO,KS,66547,POTTAWATOMIE,7854562295
PRATT REGIONAL MEDICAL CENTER,PRATT,KS,67124,PRATT,6204501160
RAWLINS COUNTY HEALTH CENTER,ATWOOD,KS,67730,RAWLINS,7856263211
HUTCHINSON REGIONAL MEDICAL CENTER INC,HUTCHINSON,KS,67502,RENO,6206652001
"SUMMIT SURGICAL, LLC",HUTCHINSON,KS,67502,RENO,6206626000
REPUBLIC COUNTY HOSPITAL,BELLEVILLE,KS,66935,REPUBLIC,7855272254
HOSPITAL DISTRICT #1 OF RICE COUNTY,LYONS,KS,67554,RICE,6202575173
MANHATTAN SURGICAL HOSPITAL LLC,MANHATTAN,KS,66502,RILEY,7857765100
"VIA CHRISTI HOSPITAL MANHATTAN, INC",MANHATTAN,KS,66502,RILEY,7857762831
ROOKS COUNTY HEALTH CENTER,PLAINVILLE,KS,67663,ROOKS,7854344553
RUSH COUNTY MEMORIAL HOSPITAL,LA CROSSE,KS,67548,RUSH,7852222545
RUSSELL REGIONAL HOSPITAL,RUSSELL,KS,67665,RUSSELL,7854833131
SALINA REGIONAL HEALTH CENTER,SALINA,KS,67401,SALINE,7854527000
SALINA SURGICAL HOSPITAL,SALINA,KS,67401,SALINE,7858270610
SCOTT COUNTY HOSPITAL,SCOTT CITY,KS,67871,SCOTT,6208725811
KANSAS HEART HOSPITAL,WICHITA,KS,67226,SEDGWICK,3166305000
"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",WICHITA,KS,67226,SEDGWICK,3164625326
KANSAS SURGERY & RECOVERY CENTER,WICHITA,KS,67226,SEDGWICK,3166340090
"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",WICHITA,KS,67235,SEDGWICK,3167967800
"VIA CHRISTI HOSPITALS WICHITA, INC",WICHITA,KS,67214,SEDGWICK,3162685000
WESLEY MEDICAL CENTER,WICHITA,KS,67214,SEDGWICK,3169622000
SOUTHWEST MEDICAL CENTER,LIBERAL,KS,67901,SEWARD,6206296291
ST FRANCIS HEALTH CENTER INC,TOPEKA,KS,66606,SHAWNEE,7852958000
STORMONT VAIL HOSPITAL,TOPEKA,KS,66604,SHAWNEE,7853546121
SHERIDAN COUNTY HOSPITAL,HOXIE,KS,67740,SHERIDAN,7856753281
GOODLAND REGIONAL MEDICAL CENTER,GOODLAND,KS,67735,SHERMAN,7858903625
SMITH COUNTY MEMORIAL HOSPITAL,SMITH CENTER,KS,66967,SMITH,7852826845
STAFFORD COUNTY HOSPITAL,STAFFORD,KS,67578,STAFFORD,6202345221
STANTON COUNTY HOSPITAL,JOHNSON,KS,67855,STANTON,6204926250
STEVENS COUNTY HOSPITAL,HUGOTON,KS,67951,STEVENS,6205446178
SUMNER COUNTY HOSPITAL DISTRICT NO 1,CALDWELL,KS,67022,SUMNER,6208456492
SUMNER REGIONAL MEDICAL CENTER,WELLINGTON,KS,67152,SUMNER,6203267451
