Hospital Name,City,State,ZIP Code,County Name,Phone Number,Mortality,P,PSI,Spending
SEBASTIAN RIVER MEDICAL CENTER,SEBASTIAN,FL,32978,INDIAN RIVER,7725893187,1.828048582,-1.789787234,-0.016120551,-849.4933511
CAMPBELLTON-GRACEVILLE HOSPITAL,GRACEVILLE,FL,32440,JACKSON,8502637201,-1.485181668,-0.389787234,0,-1426.243351
JACKSON HOSPITAL,MARIANNA,FL,32446,JACKSON,8507182620,-1.033347443,1.690212766,0.110846449,-1258.743351
FLORIDA HOSPITAL WATERMAN,TAVARES,FL,32778,LAKE,3522533300,-1.307851593,1.450212766,0.142569449,943.7566489
LEESBURG REGIONAL MEDICAL CENTER,LEESBURG,FL,34748,LAKE,3523235762,-2.198603093,-1.409787234,-0.035970551,-559.7433511
SOUTH LAKE HOSPITAL,CLERMONT,FL,34711,LAKE,3523944071,-1.896159543,0.190212766,0.089708449,-717.9933511
CAPE CORAL HOSPITAL,CAPE CORAL,FL,33990,LEE,2395742323,-0.890094968,-1.109787234,-0.096844551,569.2566489
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,FORT MYERS,FL,33912,LEE,2397685000,0.532471357,-0.349787234,0.012403449,414.2566489
LEE MEMORIAL HOSPITAL,FORT MYERS,FL,33901,LEE,2393321111,0.644436632,0.170212766,0.123127449,-399.4933511
LEHIGH REGIONAL MEDICAL CENTER,LEHIGH ACRES,FL,33936,LEE,2393692101,4.299322157,-2.169787234,-0.071390551,708.2566489
CAPITAL REGIONAL MEDICAL CENTER,TALLAHASSEE,FL,32308,LEON,8506565000,-0.217915168,0.310212766,-0.114959551,34.75664894
TALLAHASSEE MEMORIAL HOSPITAL,TALLAHASSEE,FL,32308,LEON,8504311155,-7.233724468,0.950212766,-0.226844551,-507.9933511
REGIONAL GENERAL HOSPITAL WILLISTON,WILLISTON,FL,32696,LEVY,3525282801,-0.445334868,-2.429787234,-0.037831551,-539.9933511
MADISON COUNTY MEMORIAL HOSPITAL,MADISON,FL,32340,MADISON,8509732271,-0.722630168,2.570212766,0,-1367.243351
BLAKE MEDICAL CENTER,BRADENTON,FL,34209,MANATEE,9417926611,-3.452054768,-1.509787234,-0.057518551,-942.4933511
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,MANATEE,9417822100,-0.508164093,0.230212766,-0.006674551,-271.2433511
MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208,MANATEE,9417465111,-11.68714917,-0.989787234,0.064684449,-7.993351064
MUNROE REGIONAL MEDICAL CENTER,OCALA,FL,34474,MARION,3523517200,-9.589147018,-2.009787234,-0.088853551,176.5066489
OCALA REGIONAL MEDICAL CENTER,OCALA,FL,34478,MARION,3524011000,-20.34345327,-0.929787234,-0.076844551,22.25664894
MARTIN MEDICAL CENTER,STUART,FL,34995,MARTIN,7722875200,7.446133557,-0.469787234,0.070827449,284.5066489
ANNE BATES LEACH EYE HOSPITAL,MIAMI,FL,33136,MIAMI-DADE,3053266000,-0.445334868,-0.389787234,-0.202322551,-539.9933511
AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,FL,33180,MIAMI-DADE,3056827000,8.172726007,-1.489787234,-0.045456551,2762.006649
BAPTIST HOSPITAL OF MIAMI,MIAMI,FL,33176,MIAMI-DADE,7865961960,2.256045007,0.630212766,0.483568449,172.0066489
CORAL GABLES HOSPITAL,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,7.771344307,0.070212766,-0.102709551,2260.756649
DOCTORS HOSPITAL,CORAL GABLES,FL,33146,MIAMI-DADE,3056662111,3.662764907,1.110212766,-0.257284551,751.0066489
DOUGLAS GARDENS HOSPITAL,MIAMI,FL,33137,MIAMI-DADE,3057518626,0.941127532,-2.729787234,-0.038520551,-2150.493351
HIALEAH HOSPITAL,HIALEAH,FL,33013,MIAMI-DADE,3056936100,3.788951232,-0.989787234,0.032806449,-970.4933511
HOMESTEAD HOSPITAL,HOMESTEAD,FL,33033,MIAMI-DADE,7862438000,0.865821907,1.210212766,-0.027006551,1494.006649
JACKSON MEMORIAL HOSPITAL,MIAMI,FL,33136,MIAMI-DADE,3055851111,-9.238268068,-0.689787234,0.453155449,1417.006649
KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,33175,MIAMI-DADE,3052233000,7.742597857,-0.669787234,0.009779449,2955.256649
LARKIN COMMUNITY HOSPITAL,SOUTH MIAMI,FL,33143,MIAMI-DADE,3052847500,6.915118157,0.670212766,-0.231814551,389.0066489
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,HIALEAH,FL,33012,MIAMI-DADE,3055582500,2.450997732,-1.909787234,-0.048705551,-1851.243351
"MIAMI MEDICAL CENTER, THE",MIAMI,FL,33126,MIAMI-DADE,3052641000,-0.445334868,-0.389787234,0,-539.9933511
MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,33140,MIAMI-DADE,3056742121,14.94230136,-0.049787234,-0.190024551,1711.006649
NICKLAUS CHILDREN'S HOSPITAL,MIAMI,FL,33155,MIAMI-DADE,3056666511,-0.445334868,-0.389787234,0,-539.9933511
NORTH SHORE MEDICAL CENTER,MIAMI,FL,33150,MIAMI-DADE,3058356000,-0.962812468,-0.829787234,-0.034730551,110.5066489
PALMETTO GENERAL HOSPITAL,HIALEAH,FL,33016,MIAMI-DADE,3058235000,-3.073932018,-0.209787234,-0.088370551,2120.006649
SOUTH MIAMI HOSPITAL,SOUTH MIAMI,FL,33143,MIAMI-DADE,7866624000,-0.179981818,1.550212766,0.142479449,828.0066489
UNIVERSITY OF MIAMI HOSPITAL,MIAMI,FL,33136,MIAMI-DADE,3053255511,5.446514357,-0.429787234,0.014712449,1197.506649
WEST KENDALL BAPTIST HOSPITAL,MIAMI,FL,33196,MIAMI-DADE,7864672011,5.161266732,2.430212766,0.034536449,-2470.493351
WESTCHESTER GENERAL HOSPITAL,MIAMI,FL,33155,MIAMI-DADE,3052639270,3.145543232,0.490212766,-0.060978551,-1909.493351
FISHERMEN'S HOSPITAL,MARATHON,FL,33050,MONROE,3057435533,2.002829332,2.790212766,0,1357.506649
LOWER KEYS MEDICAL CENTER,KEY WEST,FL,33040,MONROE,3052945531,-5.160210368,-1.289787234,-0.061573551,483.0066489
MARINERS HOSPITAL,TAVERNIER,FL,33070,MONROE,3054343000,0.126396632,4.370212766,0,-3293.743351
BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,FL,32034,NASSAU,9043213500,-1.128913568,2.250212766,-0.136844551,-1802.243351
FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,FL,32547,OKALOOSA,8508621111,-9.214620293,0.210212766,-0.191694551,-222.4933511
NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,32539,OKALOOSA,8506898100,-1.221460643,-0.009787234,-0.156491551,-2250.493351
TWIN CITIES HOSPITAL,NICEVILLE,FL,32578,OKALOOSA,8506784131,2.517853507,2.490212766,-0.123334551,-1366.493351
RAULERSON HOSPITAL,OKEECHOBEE,FL,34972,OKEECHOBEE,8637632151,3.342427332,0.190212766,0.023390449,1262.756649
FLORIDA HOSPITAL,ORLANDO,FL,32803,ORANGE,4073031976,9.297142882,1.770212766,-0.115015551,376.2566489
HEALTH CENTRAL,OCOEE,FL,34761,ORANGE,4072961820,-5.871464793,0.090212766,-0.080179551,-152.2433511
NEMOURS CHILDREN'S HOSPITAL,ORLANDO,FL,32827,ORANGE,4075674000,-0.445334868,-0.389787234,0,-539.9933511
ORLANDO HEALTH,ORLANDO,FL,32806,ORANGE,3218438000,0.151759982,0.750212766,-0.166765551,-74.99335106
OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,FL,34741,OSCEOLA,4078462266,9.241371257,-1.269787234,0.074389449,-63.74335106
POINCIANA MEDICAL CENTER,KISSIMMEE,FL,34758,OSCEOLA,4075302000,-0.031176693,-0.189787234,-0.055110551,-1844.243351
ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,FL,34769,OSCEOLA,4074983432,-3.334736618,-2.849787234,-0.093403551,-822.2433511
BETHESDA HOSPITAL EAST,BOYNTON BEACH,FL,33435,PALM BEACH,5617377733,1.322307132,-1.829787234,-0.246844551,1379.756649
BOCA RATON REGIONAL HOSPITAL,BOCA RATON,FL,33486,PALM BEACH,5613625002,6.069856107,0.430212766,0.942316449,232.2566489
DELRAY MEDICAL CENTER,DELRAY BEACH,FL,33484,PALM BEACH,5614984440,0.302264482,-2.589787234,-0.049890551,1123.506649
GOOD SAMARITAN MEDICAL CENTER,WEST PALM BEACH,FL,33401,PALM BEACH,5616555511,0.530771682,-0.469787234,0.005830449,980.0066489
JFK MEDICAL CENTER,ATLANTIS,FL,33462,PALM BEACH,5619657300,4.140309457,-2.229787234,-0.061953551,763.5066489
JUPITER MEDICAL CENTER,JUPITER,FL,33458,PALM BEACH,5617472234,8.007719332,1.010212766,-0.173504551,859.0066489
LAKESIDE MEDICAL CENTER,BELLE GLADE,FL,33430,PALM BEACH,5619966571,-1.182927193,0.570212766,-0.023056551,-2492.743351
PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,FL,33410,PALM BEACH,5616221411,8.703513357,-0.029787234,-0.012954551,1837.756649
PALMS WEST HOSPITAL,LOXAHATCHEE,FL,33470,PALM BEACH,5617534245,1.759472082,-0.429787234,-0.061071551,2385.256649
ST MARY'S MEDICAL CENTER,WEST PALM BEACH,FL,33407,PALM BEACH,5618406202,-12.53003259,-1.289787234,-0.109265551,1039.006649
WELLINGTON REGIONAL MEDICAL CENTER LLC,WELLINGTON,FL,33414,PALM BEACH,5617988500,-6.165590068,-0.629787234,0.043155449,952.5066489
WEST BOCA MEDICAL CENTER,BOCA RATON,FL,33428,PALM BEACH,5614888000,1.940871957,-2.029787234,-0.099753551,1011.256649
BAYFRONT HEALTH DADE CITY,DADE CITY,FL,33525,PASCO,3525683174,-5.155508143,-0.649787234,0.038568449,-1531.243351
FLORIDA HOSPITAL WESLEY CHAPEL,WESLEY CHAPEL,FL,33544,PASCO,8139295490,4.780816607,2.310212766,-0.000386551,394.7566489
FLORIDA HOSPITAL ZEPHYRHILLS,ZEPHYRHILLS,FL,33541,PASCO,8137880411,-2.122609893,1.030212766,0.081249449,31.25664894
MEDICAL CENTER OF TRINITY,TRINITY,FL,34655,PASCO,7278481733,-2.507891268,0.670212766,0.030899449,343.5066489
MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,FL,34652,PASCO,7278428468,1.592622282,1.010212766,0.013323449,998.2566489
REGIONAL MEDICAL CENTER BAYONET POINT,HUDSON,FL,34667,PASCO,7278192929,-8.521588093,-1.089787234,-0.343306551,74.25664894
"ALL CHILDREN'S HOSPITAL, INC",SAINT PETERSBURG,FL,33701,PINELLAS,8138987451,-0.445334868,-0.389787234,0,-539.9933511
BAYFRONT HEALTH - ST PETERSBURG,SAINT PETERSBURG,FL,33701,PINELLAS,7278231234,-4.292815968,-1.269787234,0.242406449,1570.006649
FLORIDA HOSPITAL NORTH PINELLAS,TARPON SPRINGS,FL,34689,PINELLAS,7279425000,-0.663166418,1.250212766,-0.055129551,942.2566489
LARGO MEDICAL CENTER,LARGO,FL,33770,PINELLAS,7275885200,-6.927898968,-0.389787234,-0.118737551,1116.256649
MEASE COUNTRYSIDE HOSPITAL,SAFETY HARBOR,FL,34695,PINELLAS,7277346950,-1.622618868,1.250212766,0.123155449,264.0066489
MEASE DUNEDIN HOSPITAL,DUNEDIN,FL,34698,PINELLAS,7277331111,-1.957812643,2.830212766,-0.011303551,179.0066489
MORTON PLANT HOSPITAL,CLEARWATER,FL,33756,PINELLAS,7274627000,-1.619813743,1.370212766,0.033367449,7.756648936
NORTHSIDE HOSPITAL,SAINT PETERSBURG,FL,33709,PINELLAS,8135215000,1.349623982,-0.509787234,-0.160459551,2064.756649
PALMS OF PASADENA HOSPITAL,SAINT PETERSBURG,FL,33707,PINELLAS,7273811000,-7.329271718,0.250212766,0.101193449,2159.756649
ST ANTHONYS HOSPITAL,SAINT PETERSBURG,FL,33705,PINELLAS,7278251100,1.498164132,0.530212766,0.273155449,911.0066489
ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,FL,33710,PINELLAS,7273841414,1.026979457,-0.789787234,0.188840449,1351.256649
BARTOW REGIONAL MEDICAL CENTER,BARTOW,FL,33831,POLK,8635338111,-0.411806018,0.410212766,0.223626449,-464.4933511
HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,33837,POLK,8634224971,-0.609674918,-2.369787234,-0.157534551,-322.9933511
LAKE WALES MEDICAL CENTER,LAKE WALES,FL,33853,POLK,8636761433,-1.016173268,-1.129787234,0.116014449,-1938.993351
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,33805,POLK,8636871100,-14.50763929,-0.409787234,-0.093833551,-1198.993351
WINTER HAVEN HOSPITAL,WINTER HAVEN,FL,33881,POLK,8632931121,-2.610979443,0.650212766,0.006696449,248.2566489
PUTNAM COMMUNITY MEDICAL CENTER,PALATKA,FL,32177,PUTNAM,3863268500,-1.178264318,0.250212766,0.045872449,1341.506649
FLAGLER HOSPITAL,SAINT AUGUSTINE,FL,32086,SAINT JOHNS,9048194426,9.219592157,-0.549787234,0.312898449,201.2566489
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FORT PIERCE,FL,34950,SAINT LUCIE,7724614000,-0.795519418,-1.769787234,0.131908449,1235.006649
ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,FL,34952,SAINT LUCIE,7723354000,-3.624552543,0.310212766,0.081670449,846.2566489
GULF BREEZE HOSPITAL,GULF BREEZE,FL,32561,SANTA ROSA,8509342000,1.22399476,-2.210212766,-0.104894551,-1103.743351
JAY HOSPITAL,JAY,FL,32565,SANTA ROSA,8506754532,1.344641332,2.970212766,-0.040883551,-3390.743351
SANTA ROSA MEDICAL CENTER,MILTON,FL,32570,SANTA ROSA,8506267762,1.628848182,-0.509787234,0.144943449,-297.9933511
DOCTORS HOSPITAL OF SARASOTA,SARASOTA,FL,34233,SARASOTA,9413421100,-1.296420768,0.750212766,0,1081.756649
ENGLEWOOD COMMUNITY HOSPITAL,ENGLEWOOD,FL,34223,SARASOTA,9414756571,5.388300782,1.250212766,-0.189697551,-118.9933511
SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239,SARASOTA,9419179000,0.987334007,1.410212766,-0.226732551,752.7566489
VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,VENICE,FL,34285,SARASOTA,9414857711,-1.145157868,-2.349787234,0.023155449,137.0066489
CENTRAL FLORIDA REGIONAL HOSPITAL,SANFORD,FL,32771,SEMINOLE,4073214500,5.201206482,-1.089787234,-0.009611551,849.2566489
OVIEDO MEDICAL CENTER,OVIEDO,FL,32765,SEMINOLE,4073027392,-0.445334868,-0.389787234,0,-539.9933511
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,FL,32159,SUMTER,3527518000,-6.258295668,-1.749787234,0.081036449,342.0066489
SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,FL,32060,SUWANNEE,9043621413,-1.043475668,-0.149787234,0,-1396.493351
DOCTOR'S MEMORIAL HOSPITAL INC,PERRY,FL,32348,TAYLOR,8505840800,0.172458757,1.050212766,0.060499449,-1918.743351
LAKE BUTLER HOSPITAL,LAKE BUTLER,FL,32054,UNION,3864962323,-0.445334868,-0.389787234,0,-539.9933511
FLORIDA HOSPITAL DELAND,DELAND,FL,32720,VOLUSIA,3869434772,-0.417341143,1.670212766,-0.065210551,154.5066489
FLORIDA HOSPITAL FISH MEMORIAL,ORANGE CITY,FL,32763,VOLUSIA,3869175000,1.637004182,0.810212766,-0.154506551,1565.006649
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,DAYTONA BEACH,FL,32117,VOLUSIA,3866766000,4.016090132,1.530212766,-0.043446551,228.0066489
FLORIDA HOSPITAL NEW SMYRNA,NEW SMYRNA BEACH,FL,32170,VOLUSIA,3864245000,-14.53421087,-1.489787234,0.341098449,1153.256649
HALIFAX HEALTH MEDICAL CENTER,DAYTONA BEACH,FL,32114,VOLUSIA,3862544000,-12.99050372,-0.109787234,0.032754449,-161.7433511
HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRINGS,FL,32435,WALTON,8509514500,-2.481869818,-1.629787234,-0.007838551,-2758.243351
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,32550,WALTON,8502783600,-0.399904843,2.390212766,-0.037846551,-880.2433511
NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,FL,32428,WASHINGTON,8506381610,-3.994521068,-0.409787234,0,-2064.493351
APPLING HOSPITAL,BAXLEY,GA,31513,APPLING,9123679841,1.249000322,-1.501052632,-0.027351624,-1294.242481
BACON COUNTY HOSPITAL,ALMA,GA,31510,BACON,9126328961,0.856916922,1.778947368,0,-1472.992481
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,31061,BALDWIN,4784543550,5.450623947,0.238947368,-0.040166624,129.5075188
NORTHEAST GEORGIA MEDICAL CENTER BARROW,WINDER,GA,30680,BARROW,7708488611,3.123347522,-1.841052632,-0.058544624,-917.9924812
CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,30120,BARTOW,7703878182,0.719700347,-0.521052632,0.170986376,547.0075188
DORMINY MEDICAL CENTER,FITZGERALD,GA,31750,BEN HILL,2294247100,-0.653136878,0.418947368,-0.036609624,-886.4924812
SGMC BERRIEN CAMPUS,NASHVILLE,GA,31639,BERRIEN,2295437100,1.658285722,1.818947368,-0.020394624,-1584.242481
COLISEUM MEDICAL CENTERS,MACON,GA,31217,BIBB,4787657000,-6.640972778,-1.141052632,-0.018544624,-753.4924812
COLISEUM NORTHSIDE HOSPITAL,MACON,GA,31210,BIBB,4787578200,3.675834397,0.138947368,-0.056715624,-274.7424812
"MEDICAL CENTER, NAVICENT HEALTH (THE)",MACON,GA,31201,BIBB,4786331000,-6.171709528,-0.281052632,0.005650376,736.2575188
BLECKLEY MEMORIAL HOSPITAL,COCHRAN,GA,31014,BLECKLEY,4789346211,0.030953022,-1.281052632,0,-283.7424812
BROOKS COUNTY HOSPITAL,QUITMAN,GA,31643,BROOKS,9122636309,1.051708422,1.638947368,0,798.7575188
EAST GEORGIA REGIONAL MEDICAL CENTER,STATESBORO,GA,30458,BULLOCH,9124861500,-0.552794103,-1.841052632,-0.109907624,1665.007519
BURKE MEDICAL CENTER,WAYNESBORO,GA,30830,BURKE,7065544435,1.051708422,1.758947368,-0.018447624,-1194.742481
WELLSTAR SYLVAN GROVE HOSPITAL,JACKSON,GA,30233,BUTTS,7707757861,1.051708422,-1.281052632,0,798.7575188
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,31558,CAMDEN,9125766401,0.283480522,0.018947368,-0.008544624,207.7575188
CANDLER COUNTY HOSPITAL,METTER,GA,30439,CANDLER,9126855741,1.538849322,-1.281052632,0,-829.7424812
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,30117,CARROLL,7708369580,-8.851517303,1.698947368,0.137842376,2675.007519
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,30180,CARROLL,7704563101,-2.472908703,1.278947368,0.093561376,-594.2424812
CORNERSTONE MEDICAL CENTER,FORT OGLETHORP,GA,30742,CATOOSA,7068582000,1.051708422,-1.281052632,0,798.7575188
CANDLER HOSPITAL,SAVANNAH,GA,31412,CHATHAM,9128196000,5.059625072,-0.801052632,0.174051376,417.2575188
"MEMORIAL HEALTH UNIV MED CEN, INC",SAVANNAH,GA,31403,CHATHAM,9123503691,-9.427264478,-0.561052632,0.471455376,-745.7424812
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,31419,CHATHAM,9128194100,-8.492406628,-0.421052632,-0.002458624,-923.2424812
EMORY JOHNS CREEK HOSPITAL,JOHNS CREEK,GA,30097,CHATTOOGA,6784747000,13.82528117,0.038947368,-0.238477624,-700.9924812
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,30115,CHEROKEE,7702441000,-7.008981128,0.838947368,0.133242376,737.0075188
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,ATHENS,GA,30606,CLARKE,7064757000,1.421714722,-0.241052632,-0.085237624,-365.7424812
ST MARY'S HOSPITAL,ATHENS,GA,30606,CLARKE,7063893930,-3.865586628,0.558947368,0.112389376,-350.9924812
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,30274,CLAYTON,7709918160,-0.604477278,-3.561052632,0.218704376,234.2575188
CLINCH MEMORIAL HOSPITAL,HOMERVILLE,GA,31634,CLINCH,9124875211,1.051708422,0.038947368,0,798.7575188
WELLSTAR COBB HOSPITAL,AUSTELL,GA,30106,COBB,7707324000,3.861862197,-1.181052632,-0.072386624,593.5075188
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,30060,COBB,7707935000,3.105854997,-0.461052632,0.035791376,394.2575188
COFFEE REGIONAL MEDICAL CENTER,DOUGLAS,GA,31533,COFFEE,9123835620,-0.705590703,0.338947368,-0.080147624,401.7575188
COLQUITT REGIONAL MEDICAL CENTER,MOULTRIE,GA,31768,COLQUITT,2299853420,-2.144165853,0.398947368,0.002056376,338.7575188
TURNING POINT HOSPITAL,MOULTRIE,GA,31788,COLQUITT,2299854815,1.051708422,-1.281052632,-0.030436624,798.7575188
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,ADEL,GA,31620,COOK,2298968077,-0.556161578,2.858947368,-0.019652624,-1346.742481
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,30265,COWETA,7704002300,8.393289722,0.398947368,0.023183376,111.5075188
SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,30265,COWETA,4048448334,0.741735647,2.478947368,0.019680376,798.7575188
CRISP REGIONAL HOSPITAL,CORDELE,GA,31015,CRISP,2292763100,0.898800722,-0.541052632,-0.008271624,-1209.742481
MEMORIAL HOSPITAL AND MANOR,BAINBRIDGE,GA,39819,DECATUR,2292463500,-3.818883603,-0.761052632,-0.051909624,-781.7424812
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,ATLANTA,GA,30322,DEKALB,4047856101,1.051708422,-1.281052632,0,798.7575188
DEKALB MEDICAL CENTER,DECATUR,GA,30033,DEKALB,4045011000,-2.471564653,-2.641052632,-0.079611624,269.5075188
DEKALB MEDICAL CENTER AT HILLANDALE,LITHONIA,GA,30058,DEKALB,4045018040,0.077552222,-1.861052632,0.038531376,-1195.992481
EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,DEKALB,4046868500,6.695750047,0.398947368,-0.041698624,-5.242481203
DODGE COUNTY HOSPITAL,EASTMAN,GA,31023,DODGE,4784484067,-0.442260228,1.118947368,-0.036301624,-1294.742481
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,DOUGHERTY,2293124068,-13.60825205,-1.361052632,0.059586376,1013.257519
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,30134,DOUGLAS,7709491500,1.075629372,0.618947368,-0.089547624,19.2575188
PIONEER COMMUNITY HOSPITAL OF EARLY,BLAKELY,GA,39823,EARLY,2297234235,2.611478622,-1.281052632,0,-134.4924812
EFFINGHAM HEALTH SYSTEM,SPRINGFIELD,GA,31329,EFFINGHAM,9127540160,2.077051022,0.838947368,0,-662.9924812
ELBERT MEMORIAL HOSPITAL,ELBERTON,GA,30635,ELBERT,7062132535,0.325267022,-0.601052632,-0.017864624,-1469.992481
EMANUEL MEDICAL CENTER,SWAINSBORO,GA,30401,EMANUEL,4782891304,-1.162198328,1.318947368,-0.042714624,-638.9924812
EVANS MEMORIAL HOSPITAL,CLAXTON,GA,30417,EVANS,9127395105,2.099719122,1.758947368,-0.023662624,-1069.742481
FANNIN REGIONAL HOSPITAL,BLUE RIDGE,GA,30513,FANNIN,7066323711,-2.877438553,0.198947368,-0.039115624,-975.4924812
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,30214,FAYETTE,7707197071,3.524342647,-0.961052632,0.004332376,625.0075188
FLOYD MEDICAL CENTER,ROME,GA,30162,FLOYD,7065096900,-5.633591703,0.138947368,-0.181987624,738.5075188
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,30165,FLOYD,7068023012,-2.363248203,0.218947368,-0.271049624,-900.2424812
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,30041,FORSYTH,7708443200,-5.946068128,1.118947368,0.157949376,-1005.492481
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,30553,FRANKLIN,7063567800,0.062764922,0.698947368,-0.008544624,-391.4924812
CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,ATLANTA,GA,30342,FULTON,4047855252,1.051708422,-1.281052632,0,798.7575188
EMORY UNIVERSITY HOSPITAL MIDTOWN,ATLANTA,GA,30308,FULTON,4046864411,7.747135372,-1.061052632,0.294434376,612.7575188
GRADY MEMORIAL HOSPITAL,ATLANTA,GA,30303,FULTON,4046164252,-7.665176228,-2.061052632,-0.088971624,-1223.492481
NORTHSIDE HOSPITAL,ATLANTA,GA,30342,FULTON,4048518000,-1.936394428,0.858947368,-0.142159624,118.0075188
PIEDMONT HOSPITAL,ATLANTA,GA,30309,FULTON,4046055000,12.8474851,0.178947368,0.393261376,510.0075188
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,30342,FULTON,6788435720,7.981432197,-0.121052632,-0.368646624,-565.9924812
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,30312,FULTON,4042654000,-2.559962528,-2.461052632,-0.040733624,2100.507519
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,30076,FULTON,7707512500,-2.368165803,-3.181052632,0.003221376,1201.007519
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,31520,GLYNN,9124667000,-4.980006928,-0.241052632,0.016348376,-607.2424812
GORDON HOSPITAL,CALHOUN,GA,30701,GORDON,7066292895,5.596960922,1.978947368,-0.111164624,993.0075188
GRADY GENERAL HOSPITAL,CAIRO,GA,39828,GRADY,2293770251,0.277025522,2.238947368,0.118486376,-2432.492481
ST MARY'S GOOD SAMARITAN HOSPITAL,GREENSBORO,GA,30642,GREENE,7064537331,0.565249022,2.038947368,0,851.7575188
EASTSIDE MEDICAL CENTER,SNELLVILLE,GA,30078,GWINNETT,7707362498,0.727281597,-1.781052632,-0.099920624,1015.757519
GWINNETT MEDICAL CENTER,LAWRENCEVILLE,GA,30045,GWINNETT,6783121000,5.311749347,-0.301052632,-0.022123624,-193.2424812
HABERSHAM COUNTY MEDICAL CTR,DEMOREST,GA,30535,HABERSHAM,7067542161,-0.975100053,0.158947368,0.263798376,207.7575188
"NORTHEAST GEORGIA MEDICAL CENTER, INC",GAINESVILLE,GA,30501,HALL,7705353553,2.207663997,0.578947368,0.090517376,-878.9924812
HIGGINS GENERAL HOSPITAL,BREMEN,GA,30110,HARALSON,7708242210,0.368022922,1.378947368,0,-52.9924812
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,30281,HENRY,6786041000,-5.137937078,-2.481052632,0.065084376,1289.757519
HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,31093,HOUSTON,4789224281,9.369396747,-0.281052632,-0.105048624,672.5075188
PERRY HOSPITAL,PERRY,GA,31069,HOUSTON,4789873600,3.291681522,-0.101052632,-0.046758624,445.0075188
